
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1300_13000bs2048lr0.1d0.001e5                     :   659.4   67.7   248.0     400    62     100  224   48  128    12
   2 1200_12000bs2048lr0.1d0.001e5                     :   609.4   55.2   289.0     500    58      90  252   74  174    15
   3 1000_10000bs2048lr0.1d0.001e5                     :   586.5   58.0   427.5     700    61      79  381   93  226    13
   4 1100_11000bs2048lr0.1d0.001e5                     :   572.1   57.6   332.0     600    55     100  290   84  226    14
   5 900_9000bs2048lr0.1d0.001e5                       :   523.5   57.9   438.0     800    55     100  389   98  313    12
   6 800_8000bs2048lr0.1d0.001e4                       :   412.3   55.3   359.5     800    45      88  315   89  396    11
   7 700_7000bs2048lr0.1d0.001e4                       :   394.8   50.9   384.0     800    48     100  339   90  371    11
   8 500_5000bs2048lr0.1d0.001e4                       :   330.2   51.9   396.0     800    50      75  344  104  352    13
   9 600_6000bs2048lr0.1d0.001e4                       :   318.9   54.0   340.0     800    43      98  296   88  416    11
  10 450_4500bs2048lr0.1d0.001e4                       :   283.4   52.4   379.5     800    47      81  330   99  371    12
  11 400_4000bs2048lr0.1d0.001e4                       :   268.9   46.8   391.5     800    49      94  354   75  371     9
  12 300_3000bs2048lr0.1d0.001e4                       :   246.3   45.6   416.0     800    52      73  374   84  342    11
  13 350_3500bs2048lr0.1d0.001e5                       :   236.3   45.9   376.0     800    47      93  334   84  382    11
  14 250_2500bs2048lr0.1d0.001e4                       :   211.3   40.5   415.5     800    52      56  362  107  331    13
  15 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   39.3   331.5     600    55      81  297   69  234    12
  16 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   38.9   357.0     700    51     100  326   62  312     9
  17 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   42.5   214.5     500    43     100  178   73  249    15
  18 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 0.92 +/- 4.65
Draw rate (equal opponents) = 12.35 % +/- 0.43

