
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1700_17000bs2048lr0.1d0.001e5                     :   728.6   64.0   287.0     500    57      69  259   56  185    11
   2 1800_18000bs2048lr0.1d0.001e8                     :   717.9   64.8   218.0     400    55      84  186   64  150    16
   3 1600_16000bs2048lr0.1d0.001e6                     :   698.4   63.2   323.5     600    54      97  283   81  236    14
   4 1500_15000bs2048lr0.1d0.001e7                     :   667.9   63.5   356.5     700    51      87  306  101  293    14
   5 1400_14000bs2048lr0.1d0.001e6                     :   649.6   61.2   395.0     800    49      57  338  114  348    14
   6 1300_13000bs2048lr0.1d0.001e5                     :   646.3   61.1   418.0     800    52      98  369   98  333    12
   7 1200_12000bs2048lr0.1d0.001e5                     :   612.8   59.0   418.0     800    52      95  359  118  323    15
   8 1000_10000bs2048lr0.1d0.001e5                     :   585.8   59.4   469.0     800    59      76  416  106  278    13
   9 1100_11000bs2048lr0.1d0.001e5                     :   574.2   60.3   411.5     800    51     100  355  113  332    14
  10 900_9000bs2048lr0.1d0.001e5                       :   522.6   57.4   438.0     800    55     100  389   98  313    12
  11 800_8000bs2048lr0.1d0.001e4                       :   412.8   55.9   359.5     800    45      83  315   89  396    11
  12 700_7000bs2048lr0.1d0.001e4                       :   394.9   54.7   384.0     800    48     100  339   90  371    11
  13 500_5000bs2048lr0.1d0.001e4                       :   330.1   51.4   396.0     800    50      75  344  104  352    13
  14 600_6000bs2048lr0.1d0.001e4                       :   318.8   56.7   340.0     800    43      98  296   88  416    11
  15 450_4500bs2048lr0.1d0.001e4                       :   283.5   53.1   379.5     800    47      83  330   99  371    12
  16 400_4000bs2048lr0.1d0.001e4                       :   268.9   52.2   391.5     800    49      91  354   75  371     9
  17 300_3000bs2048lr0.1d0.001e4                       :   246.3   48.3   416.0     800    52      75  374   84  342    11
  18 350_3500bs2048lr0.1d0.001e5                       :   236.3   46.4   376.0     800    47      93  334   84  382    11
  19 250_2500bs2048lr0.1d0.001e4                       :   211.3   40.2   415.5     800    52      56  362  107  331    13
  20 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   41.2   331.5     600    55      80  297   69  234    12
  21 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   46.2   357.0     700    51     100  326   62  312     9
  22 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   44.3   214.5     500    43     100  178   73  249    15
  23 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 1.87 +/- 3.92
Draw rate (equal opponents) = 12.76 % +/- 0.33

