
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 2200_22000bs2048lr0.1d0.001e5                     :   792.1   63.0   286.0     500    57      86  240   92  168    18
   2 2400_24000bs2048lr0.1d0.001e6                     :   771.6   61.0   212.0     400    53      86  170   84  146    21
   3 1900_19000bs2048lr0.1d0.001e5                     :   751.7   59.7   370.5     700    53      85  311  119  270    17
   4 2000_20000bs2048lr0.1d0.001e5                     :   735.4   58.5   292.0     600    49      74  243   98  259    16
   5 1700_17000bs2048lr0.1d0.001e5                     :   724.2   58.0   417.5     800    52      53  364  107  329    13
   6 1800_18000bs2048lr0.1d0.001e8                     :   722.7   53.1   398.0     800    50      83  327  142  331    18
   7 1600_16000bs2048lr0.1d0.001e6                     :   706.4   57.6   420.0     800    53     100  367  106  327    13
   8 1500_15000bs2048lr0.1d0.001e7                     :   663.9   55.0   389.0     800    49      82  329  120  351    15
   9 1400_14000bs2048lr0.1d0.001e6                     :   650.2   52.8   395.0     800    49      60  338  114  348    14
  10 1300_13000bs2048lr0.1d0.001e5                     :   646.5   51.8   418.0     800    52      98  369   98  333    12
  11 1200_12000bs2048lr0.1d0.001e5                     :   613.5   50.5   418.0     800    52      97  359  118  323    15
  12 1000_10000bs2048lr0.1d0.001e5                     :   586.1   51.0   469.0     800    59      79  416  106  278    13
  13 1100_11000bs2048lr0.1d0.001e5                     :   574.0   47.7   411.5     800    51     100  355  113  332    14
  14 900_9000bs2048lr0.1d0.001e5                       :   522.7   47.0   438.0     800    55     100  389   98  313    12
  15 800_8000bs2048lr0.1d0.001e4                       :   412.9   47.3   359.5     800    45      88  315   89  396    11
  16 700_7000bs2048lr0.1d0.001e4                       :   394.9   49.0   384.0     800    48     100  339   90  371    11
  17 500_5000bs2048lr0.1d0.001e4                       :   330.2   42.3   396.0     800    50      76  344  104  352    13
  18 600_6000bs2048lr0.1d0.001e4                       :   318.9   50.9   340.0     800    43      99  296   88  416    11
  19 450_4500bs2048lr0.1d0.001e4                       :   283.5   45.2   379.5     800    47      82  330   99  371    12
  20 400_4000bs2048lr0.1d0.001e4                       :   269.0   44.6   391.5     800    49      93  354   75  371     9
  21 300_3000bs2048lr0.1d0.001e4                       :   246.4   40.4   416.0     800    52      73  374   84  342    11
  22 350_3500bs2048lr0.1d0.001e5                       :   236.3   43.6   376.0     800    47      93  334   84  382    11
  23 250_2500bs2048lr0.1d0.001e4                       :   211.4   35.7   415.5     800    52      56  362  107  331    13
  24 from00000_150_1500bs2048lr0.1d0.001e3             :   209.0   39.6   331.5     600    55      79  297   69  234    12
  25 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   40.1   357.0     700    51     100  326   62  312     9
  26 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   41.0   214.5     500    43     100  178   73  249    15
  27 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 5.77 +/- 3.86
Draw rate (equal opponents) = 13.62 % +/- 0.34

