
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1900_19000bs2048lr0.1d0.001e5                     :   750.6   62.0   226.0     400    57      85  194   64  142    16
   2 1700_17000bs2048lr0.1d0.001e5                     :   728.1   60.2   332.5     600    55      63  293   79  228    13
   3 1800_18000bs2048lr0.1d0.001e8                     :   722.1   60.5   266.0     500    53      87  228   76  196    15
   4 1600_16000bs2048lr0.1d0.001e6                     :   704.0   56.1   371.5     700    53      99  326   91  283    13
   5 1500_15000bs2048lr0.1d0.001e7                     :   663.9   60.5   389.0     800    49      80  329  120  351    15
   6 1400_14000bs2048lr0.1d0.001e6                     :   650.3   51.9   395.0     800    49      60  338  114  348    14
   7 1300_13000bs2048lr0.1d0.001e5                     :   646.6   54.8   418.0     800    52      99  369   98  333    12
   8 1200_12000bs2048lr0.1d0.001e5                     :   613.1   52.8   418.0     800    52      95  359  118  323    15
   9 1000_10000bs2048lr0.1d0.001e5                     :   586.0   52.2   469.0     800    59      74  416  106  278    13
  10 1100_11000bs2048lr0.1d0.001e5                     :   573.9   54.5   411.5     800    51     100  355  113  332    14
  11 900_9000bs2048lr0.1d0.001e5                       :   522.6   45.8   438.0     800    55     100  389   98  313    12
  12 800_8000bs2048lr0.1d0.001e4                       :   412.8   44.3   359.5     800    45      89  315   89  396    11
  13 700_7000bs2048lr0.1d0.001e4                       :   394.9   45.9   384.0     800    48     100  339   90  371    11
  14 500_5000bs2048lr0.1d0.001e4                       :   330.2   42.7   396.0     800    50      77  344  104  352    13
  15 600_6000bs2048lr0.1d0.001e4                       :   318.9   45.9   340.0     800    43      98  296   88  416    11
  16 450_4500bs2048lr0.1d0.001e4                       :   283.5   41.6   379.5     800    47      82  330   99  371    12
  17 400_4000bs2048lr0.1d0.001e4                       :   269.0   46.3   391.5     800    49      92  354   75  371     9
  18 300_3000bs2048lr0.1d0.001e4                       :   246.4   42.5   416.0     800    52      75  374   84  342    11
  19 350_3500bs2048lr0.1d0.001e5                       :   236.3   41.1   376.0     800    47      95  334   84  382    11
  20 250_2500bs2048lr0.1d0.001e4                       :   211.4   39.4   415.5     800    52      55  362  107  331    13
  21 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   39.3   331.5     600    55      80  297   69  234    12
  22 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   42.2   357.0     700    51     100  326   62  312     9
  23 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   37.2   214.5     500    43     100  178   73  249    15
  24 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 3.44 +/- 3.99
Draw rate (equal opponents) = 12.93 % +/- 0.38

