
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 2200_22000bs2048lr0.1d0.001e5                     :   796.1   70.6   235.5     400    59      99  200   71  129    18
   2 1900_19000bs2048lr0.1d0.001e5                     :   750.2   68.0   321.5     600    54      81  272   99  229    17
   3 2000_20000bs2048lr0.1d0.001e5                     :   735.0   65.5   246.5     500    49      73  206   81  213    16
   4 1700_17000bs2048lr0.1d0.001e5                     :   724.5   60.0   417.5     800    52      54  364  107  329    13
   5 1800_18000bs2048lr0.1d0.001e8                     :   723.1   65.4   355.0     700    51      88  297  116  287    17
   6 1600_16000bs2048lr0.1d0.001e6                     :   706.2   59.6   420.0     800    53     100  367  106  327    13
   7 1500_15000bs2048lr0.1d0.001e7                     :   663.8   65.8   389.0     800    49      85  329  120  351    15
   8 1400_14000bs2048lr0.1d0.001e6                     :   650.2   59.8   395.0     800    49      60  338  114  348    14
   9 1300_13000bs2048lr0.1d0.001e5                     :   646.5   58.3   418.0     800    52      99  369   98  333    12
  10 1200_12000bs2048lr0.1d0.001e5                     :   613.4   58.7   418.0     800    52      95  359  118  323    15
  11 1000_10000bs2048lr0.1d0.001e5                     :   586.0   53.7   469.0     800    59      76  416  106  278    13
  12 1100_11000bs2048lr0.1d0.001e5                     :   573.9   55.1   411.5     800    51     100  355  113  332    14
  13 900_9000bs2048lr0.1d0.001e5                       :   522.7   53.8   438.0     800    55     100  389   98  313    12
  14 800_8000bs2048lr0.1d0.001e4                       :   412.8   57.4   359.5     800    45      85  315   89  396    11
  15 700_7000bs2048lr0.1d0.001e4                       :   394.9   50.1   384.0     800    48     100  339   90  371    11
  16 500_5000bs2048lr0.1d0.001e4                       :   330.2   48.4   396.0     800    50      77  344  104  352    13
  17 600_6000bs2048lr0.1d0.001e4                       :   318.9   49.6   340.0     800    43      99  296   88  416    11
  18 450_4500bs2048lr0.1d0.001e4                       :   283.5   47.1   379.5     800    47      82  330   99  371    12
  19 400_4000bs2048lr0.1d0.001e4                       :   269.0   46.3   391.5     800    49      92  354   75  371     9
  20 300_3000bs2048lr0.1d0.001e4                       :   246.4   43.4   416.0     800    52      74  374   84  342    11
  21 350_3500bs2048lr0.1d0.001e5                       :   236.3   44.3   376.0     800    47      93  334   84  382    11
  22 250_2500bs2048lr0.1d0.001e4                       :   211.4   43.1   415.5     800    52      56  362  107  331    13
  23 from00000_150_1500bs2048lr0.1d0.001e3             :   209.0   44.3   331.5     600    55      81  297   69  234    12
  24 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   47.2   357.0     700    51     100  326   62  312     9
  25 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   44.8   214.5     500    43     100  178   73  249    15
  26 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 4.76 +/- 3.90
Draw rate (equal opponents) = 13.29 % +/- 0.39

