
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 3600_36000bs2048lr0.1d0.001e7                     :   870.0   76.1   220.5     400    55      81  186   69  145    17
   2 3200_32000bs2048lr0.1d0.001e6                     :   851.5   79.5   268.5     500    54      77  221   95  184    19
   3 3000_30000bs2048lr0.1d0.001e5                     :   835.6   69.4   310.5     600    52      54  256  109  235    18
   4 2800_28000bs2048lr0.1d0.001e5                     :   834.0   72.6   373.5     700    53      90  309  129  262    18
   5 2600_26000bs2048lr0.1d0.001e8                     :   814.2   70.4   409.5     800    51      87  344  131  325    16
   6 2200_22000bs2048lr0.1d0.001e5                     :   796.8   70.3   426.0     800    53      92  353  146  301    18
   7 2400_24000bs2048lr0.1d0.001e6                     :   772.5   73.1   377.5     800    47      84  298  159  343    20
   8 1900_19000bs2048lr0.1d0.001e5                     :   756.2   69.4   416.5     800    52      96  351  131  318    16
   9 2000_20000bs2048lr0.1d0.001e5                     :   728.5   68.1   358.0     800    45      58  293  130  377    16
  10 1700_17000bs2048lr0.1d0.001e5                     :   724.9   67.3   417.5     800    52      54  364  107  329    13
  11 1800_18000bs2048lr0.1d0.001e8                     :   723.5   66.9   398.0     800    50      86  327  142  331    18
  12 1600_16000bs2048lr0.1d0.001e6                     :   706.7   66.4   420.0     800    53     100  367  106  327    13
  13 1500_15000bs2048lr0.1d0.001e7                     :   665.0   65.2   389.0     800    49      84  329  120  351    15
  14 1400_14000bs2048lr0.1d0.001e6                     :   650.9   63.1   395.0     800    49      60  338  114  348    14
  15 1300_13000bs2048lr0.1d0.001e5                     :   647.2   63.2   418.0     800    52      98  369   98  333    12
  16 1200_12000bs2048lr0.1d0.001e5                     :   614.1   61.4   418.0     800    52      95  359  118  323    15
  17 1000_10000bs2048lr0.1d0.001e5                     :   586.7   57.0   469.0     800    59      78  416  106  278    13
  18 1100_11000bs2048lr0.1d0.001e5                     :   574.6   59.6   411.5     800    51     100  355  113  332    14
  19 900_9000bs2048lr0.1d0.001e5                       :   523.3   56.8   438.0     800    55     100  389   98  313    12
  20 800_8000bs2048lr0.1d0.001e4                       :   413.3   50.8   359.5     800    45      88  315   89  396    11
  21 700_7000bs2048lr0.1d0.001e4                       :   395.4   50.7   384.0     800    48     100  339   90  371    11
  22 500_5000bs2048lr0.1d0.001e4                       :   330.6   46.3   396.0     800    50      77  344  104  352    13
  23 600_6000bs2048lr0.1d0.001e4                       :   319.3   53.5   340.0     800    43      99  296   88  416    11
  24 450_4500bs2048lr0.1d0.001e4                       :   283.8   52.0   379.5     800    47      84  330   99  371    12
  25 400_4000bs2048lr0.1d0.001e4                       :   269.3   51.1   391.5     800    49      92  354   75  371     9
  26 300_3000bs2048lr0.1d0.001e4                       :   246.7   47.7   416.0     800    52      75  374   84  342    11
  27 350_3500bs2048lr0.1d0.001e5                       :   236.6   48.5   376.0     800    47      93  334   84  382    11
  28 250_2500bs2048lr0.1d0.001e4                       :   211.6   44.5   415.5     800    52      56  362  107  331    13
  29 from00000_150_1500bs2048lr0.1d0.001e3             :   209.2   44.2   331.5     600    55      82  297   69  234    12
  30 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.4   41.8   357.0     700    51     100  326   62  312     9
  31 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.5   39.7   214.5     500    43     100  178   73  249    15
  32 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 13.31 +/- 3.05
Draw rate (equal opponents) = 14.37 % +/- 0.29

