
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 2800_28000bs2048lr0.1d0.001e5                     :   836.6   81.3   233.5     400    58      91  196   75  129    19
   2 2600_26000bs2048lr0.1d0.001e8                     :   810.4   75.0   273.0     500    55      76  234   78  188    16
   3 2200_22000bs2048lr0.1d0.001e5                     :   797.2   73.9   382.5     700    55      94  321  123  256    18
   4 2400_24000bs2048lr0.1d0.001e6                     :   771.5   75.9   297.0     600    50      86  236  122  242    20
   5 1900_19000bs2048lr0.1d0.001e5                     :   755.4   73.9   416.5     800    52      96  351  131  318    16
   6 2000_20000bs2048lr0.1d0.001e5                     :   728.0   74.4   358.0     800    45      59  293  130  377    16
   7 1700_17000bs2048lr0.1d0.001e5                     :   724.5   75.0   417.5     800    52      54  364  107  329    13
   8 1800_18000bs2048lr0.1d0.001e8                     :   723.0   70.6   398.0     800    50      86  327  142  331    18
   9 1600_16000bs2048lr0.1d0.001e6                     :   706.2   70.1   420.0     800    53     100  367  106  327    13
  10 1500_15000bs2048lr0.1d0.001e7                     :   664.5   66.6   389.0     800    49      79  329  120  351    15
  11 1400_14000bs2048lr0.1d0.001e6                     :   650.4   65.9   395.0     800    49      59  338  114  348    14
  12 1300_13000bs2048lr0.1d0.001e5                     :   646.7   65.0   418.0     800    52      97  369   98  333    12
  13 1200_12000bs2048lr0.1d0.001e5                     :   613.7   65.7   418.0     800    52      96  359  118  323    15
  14 1000_10000bs2048lr0.1d0.001e5                     :   586.3   62.5   469.0     800    59      77  416  106  278    13
  15 1100_11000bs2048lr0.1d0.001e5                     :   574.2   62.2   411.5     800    51     100  355  113  332    14
  16 900_9000bs2048lr0.1d0.001e5                       :   522.9   55.7   438.0     800    55     100  389   98  313    12
  17 800_8000bs2048lr0.1d0.001e4                       :   413.0   56.6   359.5     800    45      86  315   89  396    11
  18 700_7000bs2048lr0.1d0.001e4                       :   395.1   54.1   384.0     800    48     100  339   90  371    11
  19 500_5000bs2048lr0.1d0.001e4                       :   330.4   53.0   396.0     800    50      79  344  104  352    13
  20 600_6000bs2048lr0.1d0.001e4                       :   319.0   49.3   340.0     800    43      99  296   88  416    11
  21 450_4500bs2048lr0.1d0.001e4                       :   283.6   51.8   379.5     800    47      84  330   99  371    12
  22 400_4000bs2048lr0.1d0.001e4                       :   269.1   46.0   391.5     800    49      92  354   75  371     9
  23 300_3000bs2048lr0.1d0.001e4                       :   246.5   45.5   416.0     800    52      74  374   84  342    11
  24 350_3500bs2048lr0.1d0.001e5                       :   236.4   49.4   376.0     800    47      94  334   84  382    11
  25 250_2500bs2048lr0.1d0.001e4                       :   211.5   42.9   415.5     800    52      56  362  107  331    13
  26 from00000_150_1500bs2048lr0.1d0.001e3             :   209.1   44.5   331.5     600    55      79  297   69  234    12
  27 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.3   44.7   357.0     700    51     100  326   62  312     9
  28 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   44.5   214.5     500    43     100  178   73  249    15
  29 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 9.28 +/- 3.15
Draw rate (equal opponents) = 13.88 % +/- 0.38

