
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 2600_26000bs2048lr0.1d0.001e8                     :   820.4   66.9   233.0     400    58      90  204   58  138    15
   2 2200_22000bs2048lr0.1d0.001e5                     :   793.1   63.1   333.5     600    56      92  280  107  213    18
   3 2400_24000bs2048lr0.1d0.001e6                     :   768.5   69.3   253.0     500    51      76  201  104  195    21
   4 1900_19000bs2048lr0.1d0.001e5                     :   755.8   60.5   416.5     800    52      96  351  131  318    16
   5 2000_20000bs2048lr0.1d0.001e5                     :   729.8   66.0   324.5     700    46      62  270  109  321    16
   6 1700_17000bs2048lr0.1d0.001e5                     :   724.1   61.0   417.5     800    52      55  364  107  329    13
   7 1800_18000bs2048lr0.1d0.001e8                     :   722.3   63.2   398.0     800    50      86  327  142  331    18
   8 1600_16000bs2048lr0.1d0.001e6                     :   706.2   58.2   420.0     800    53     100  367  106  327    13
   9 1500_15000bs2048lr0.1d0.001e7                     :   664.3   60.2   389.0     800    49      80  329  120  351    15
  10 1400_14000bs2048lr0.1d0.001e6                     :   650.2   54.9   395.0     800    49      59  338  114  348    14
  11 1300_13000bs2048lr0.1d0.001e5                     :   646.6   58.9   418.0     800    52      98  369   98  333    12
  12 1200_12000bs2048lr0.1d0.001e5                     :   613.5   55.8   418.0     800    52      95  359  118  323    15
  13 1000_10000bs2048lr0.1d0.001e5                     :   586.1   52.2   469.0     800    59      76  416  106  278    13
  14 1100_11000bs2048lr0.1d0.001e5                     :   574.1   57.0   411.5     800    51     100  355  113  332    14
  15 900_9000bs2048lr0.1d0.001e5                       :   522.8   50.6   438.0     800    55     100  389   98  313    12
  16 800_8000bs2048lr0.1d0.001e4                       :   412.9   51.5   359.5     800    45      87  315   89  396    11
  17 700_7000bs2048lr0.1d0.001e4                       :   395.0   51.2   384.0     800    48     100  339   90  371    11
  18 500_5000bs2048lr0.1d0.001e4                       :   330.3   48.3   396.0     800    50      78  344  104  352    13
  19 600_6000bs2048lr0.1d0.001e4                       :   319.0   47.0   340.0     800    43     100  296   88  416    11
  20 450_4500bs2048lr0.1d0.001e4                       :   283.6   41.5   379.5     800    47      81  330   99  371    12
  21 400_4000bs2048lr0.1d0.001e4                       :   269.0   48.7   391.5     800    49      89  354   75  371     9
  22 300_3000bs2048lr0.1d0.001e4                       :   246.4   43.7   416.0     800    52      73  374   84  342    11
  23 350_3500bs2048lr0.1d0.001e5                       :   236.4   40.9   376.0     800    47      94  334   84  382    11
  24 250_2500bs2048lr0.1d0.001e4                       :   211.4   40.7   415.5     800    52      56  362  107  331    13
  25 from00000_150_1500bs2048lr0.1d0.001e3             :   209.0   42.6   331.5     600    55      80  297   69  234    12
  26 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   39.3   357.0     700    51     100  326   62  312     9
  27 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   41.7   214.5     500    43     100  178   73  249    15
  28 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 7.21 +/- 3.50
Draw rate (equal opponents) = 13.67 % +/- 0.36

