
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 3000_30000bs2048lr0.1d0.001e5                     :   842.3   75.1   222.0     400    56      64  183   78  139    20
   2 2800_28000bs2048lr0.1d0.001e5                     :   834.8   73.3   281.5     500    56      92  233   97  170    19
   3 2600_26000bs2048lr0.1d0.001e8                     :   808.1   74.0   316.5     600    53      72  270   93  237    16
   4 2200_22000bs2048lr0.1d0.001e5                     :   796.9   66.5   426.0     800    53      92  353  146  301    18
   5 2400_24000bs2048lr0.1d0.001e6                     :   773.9   67.6   340.0     700    49      85  270  140  290    20
   6 1900_19000bs2048lr0.1d0.001e5                     :   755.4   63.1   416.5     800    52      95  351  131  318    16
   7 2000_20000bs2048lr0.1d0.001e5                     :   727.8   63.4   358.0     800    45      58  293  130  377    16
   8 1700_17000bs2048lr0.1d0.001e5                     :   724.5   59.4   417.5     800    52      53  364  107  329    13
   9 1800_18000bs2048lr0.1d0.001e8                     :   723.2   62.7   398.0     800    50      84  327  142  331    18
  10 1600_16000bs2048lr0.1d0.001e6                     :   706.2   62.6   420.0     800    53      99  367  106  327    13
  11 1500_15000bs2048lr0.1d0.001e7                     :   664.6   57.4   389.0     800    49      80  329  120  351    15
  12 1400_14000bs2048lr0.1d0.001e6                     :   650.5   57.6   395.0     800    49      60  338  114  348    14
  13 1300_13000bs2048lr0.1d0.001e5                     :   646.8   53.0   418.0     800    52      97  369   98  333    12
  14 1200_12000bs2048lr0.1d0.001e5                     :   613.7   53.6   418.0     800    52      93  359  118  323    15
  15 1000_10000bs2048lr0.1d0.001e5                     :   586.3   52.5   469.0     800    59      78  416  106  278    13
  16 1100_11000bs2048lr0.1d0.001e5                     :   574.3   49.4   411.5     800    51     100  355  113  332    14
  17 900_9000bs2048lr0.1d0.001e5                       :   523.0   51.3   438.0     800    55     100  389   98  313    12
  18 800_8000bs2048lr0.1d0.001e4                       :   413.1   51.0   359.5     800    45      86  315   89  396    11
  19 700_7000bs2048lr0.1d0.001e4                       :   395.1   51.0   384.0     800    48     100  339   90  371    11
  20 500_5000bs2048lr0.1d0.001e4                       :   330.4   48.1   396.0     800    50      77  344  104  352    13
  21 600_6000bs2048lr0.1d0.001e4                       :   319.1   48.7   340.0     800    43      99  296   88  416    11
  22 450_4500bs2048lr0.1d0.001e4                       :   283.7   45.8   379.5     800    47      82  330   99  371    12
  23 400_4000bs2048lr0.1d0.001e4                       :   269.1   47.5   391.5     800    49      92  354   75  371     9
  24 300_3000bs2048lr0.1d0.001e4                       :   246.5   41.3   416.0     800    52      74  374   84  342    11
  25 350_3500bs2048lr0.1d0.001e5                       :   236.4   47.3   376.0     800    47      94  334   84  382    11
  26 250_2500bs2048lr0.1d0.001e4                       :   211.5   39.0   415.5     800    52      56  362  107  331    13
  27 from00000_150_1500bs2048lr0.1d0.001e3             :   209.1   44.3   331.5     600    55      79  297   69  234    12
  28 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.3   41.1   357.0     700    51     100  326   62  312     9
  29 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   41.2   214.5     500    43     100  178   73  249    15
  30 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 9.80 +/- 3.28
Draw rate (equal opponents) = 14.10 % +/- 0.35

