
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1500_15000bs2048lr0.1d0.001e7                     :   667.7   66.4   226.0     400    57      79  198   56  146    14
   2 1300_13000bs2048lr0.1d0.001e5                     :   651.6   61.8   341.5     600    57      52  304   75  221    13
   3 1400_14000bs2048lr0.1d0.001e6                     :   650.5   60.4   273.0     500    55      99  236   74  190    15
   4 1200_12000bs2048lr0.1d0.001e5                     :   609.1   63.5   375.5     700    54      92  322  107  271    15
   5 1000_10000bs2048lr0.1d0.001e5                     :   586.2   56.9   469.0     800    59      77  416  106  278    13
   6 1100_11000bs2048lr0.1d0.001e5                     :   574.5   52.3   411.5     800    51     100  355  113  332    14
   7 900_9000bs2048lr0.1d0.001e5                       :   522.8   54.8   438.0     800    55     100  389   98  313    12
   8 800_8000bs2048lr0.1d0.001e4                       :   412.5   53.4   359.5     800    45      88  315   89  396    11
   9 700_7000bs2048lr0.1d0.001e4                       :   394.9   47.0   384.0     800    48     100  339   90  371    11
  10 500_5000bs2048lr0.1d0.001e4                       :   330.1   49.2   396.0     800    50      77  344  104  352    13
  11 600_6000bs2048lr0.1d0.001e4                       :   318.9   49.4   340.0     800    43      99  296   88  416    11
  12 450_4500bs2048lr0.1d0.001e4                       :   283.4   48.7   379.5     800    47      84  330   99  371    12
  13 400_4000bs2048lr0.1d0.001e4                       :   268.9   42.6   391.5     800    49      92  354   75  371     9
  14 300_3000bs2048lr0.1d0.001e4                       :   246.3   41.2   416.0     800    52      73  374   84  342    11
  15 350_3500bs2048lr0.1d0.001e5                       :   236.3   45.8   376.0     800    47      93  334   84  382    11
  16 250_2500bs2048lr0.1d0.001e4                       :   211.3   39.5   415.5     800    52      56  362  107  331    13
  17 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   36.6   331.5     600    55      81  297   69  234    12
  18 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   36.9   357.0     700    51     100  326   62  312     9
  19 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   39.9   214.5     500    43     100  178   73  249    15
  20 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 0.38 +/- 3.97
Draw rate (equal opponents) = 12.62 % +/- 0.39

