
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1900_19000bs2048lr0.1d0.001e5                     :   751.1   69.1   278.5     500    56      70  238   81  181    16
   2 2000_20000bs2048lr0.1d0.001e5                     :   739.5   70.2   208.0     400    52      71  176   64  160    16
   3 1700_17000bs2048lr0.1d0.001e5                     :   727.7   62.3   381.0     700    54      76  335   92  273    13
   4 1800_18000bs2048lr0.1d0.001e8                     :   716.4   64.9   308.5     600    51      72  261   95  244    16
   5 1600_16000bs2048lr0.1d0.001e6                     :   706.4   64.5   420.0     800    53     100  367  106  327    13
   6 1500_15000bs2048lr0.1d0.001e7                     :   663.4   61.6   389.0     800    49      78  329  120  351    15
   7 1400_14000bs2048lr0.1d0.001e6                     :   649.8   60.2   395.0     800    49      57  338  114  348    14
   8 1300_13000bs2048lr0.1d0.001e5                     :   646.8   55.7   418.0     800    52      97  369   98  333    12
   9 1200_12000bs2048lr0.1d0.001e5                     :   613.3   53.7   418.0     800    52      94  359  118  323    15
  10 1000_10000bs2048lr0.1d0.001e5                     :   586.0   50.4   469.0     800    59      79  416  106  278    13
  11 1100_11000bs2048lr0.1d0.001e5                     :   573.9   52.7   411.5     800    51     100  355  113  332    14
  12 900_9000bs2048lr0.1d0.001e5                       :   522.7   49.7   438.0     800    55     100  389   98  313    12
  13 800_8000bs2048lr0.1d0.001e4                       :   412.8   49.8   359.5     800    45      87  315   89  396    11
  14 700_7000bs2048lr0.1d0.001e4                       :   394.9   46.3   384.0     800    48     100  339   90  371    11
  15 500_5000bs2048lr0.1d0.001e4                       :   330.2   48.8   396.0     800    50      75  344  104  352    13
  16 600_6000bs2048lr0.1d0.001e4                       :   318.9   49.2   340.0     800    43      97  296   88  416    11
  17 450_4500bs2048lr0.1d0.001e4                       :   283.5   44.0   379.5     800    47      84  330   99  371    12
  18 400_4000bs2048lr0.1d0.001e4                       :   269.0   39.8   391.5     800    49      94  354   75  371     9
  19 300_3000bs2048lr0.1d0.001e4                       :   246.4   45.9   416.0     800    52      71  374   84  342    11
  20 350_3500bs2048lr0.1d0.001e5                       :   236.3   44.8   376.0     800    47      96  334   84  382    11
  21 250_2500bs2048lr0.1d0.001e4                       :   211.4   38.9   415.5     800    52      55  362  107  331    13
  22 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   45.0   331.5     600    55      80  297   69  234    12
  23 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   38.7   357.0     700    51     100  326   62  312     9
  24 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   41.0   214.5     500    43     100  178   73  249    15
  25 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 3.86 +/- 3.93
Draw rate (equal opponents) = 13.07 % +/- 0.31

