
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1300_13000bs2048lr0.1d0.001e5                     :   648.0   62.3   291.5     500    58      51  260   63  177    13
   2 1400_14000bs2048lr0.1d0.001e6                     :   647.5   63.4   224.0     400    56      96  194   60  146    15
   3 1200_12000bs2048lr0.1d0.001e5                     :   611.3   56.2   336.5     600    56      93  292   89  219    15
   4 1000_10000bs2048lr0.1d0.001e5                     :   585.6   55.8   469.0     800    59      75  416  106  278    13
   5 1100_11000bs2048lr0.1d0.001e5                     :   574.9   55.8   375.5     700    54     100  325  101  274    14
   6 900_9000bs2048lr0.1d0.001e5                       :   522.6   54.1   438.0     800    55     100  389   98  313    12
   7 800_8000bs2048lr0.1d0.001e4                       :   412.7   51.7   359.5     800    45      83  315   89  396    11
   8 700_7000bs2048lr0.1d0.001e4                       :   394.9   52.7   384.0     800    48     100  339   90  371    11
   9 500_5000bs2048lr0.1d0.001e4                       :   330.1   48.6   396.0     800    50      77  344  104  352    13
  10 600_6000bs2048lr0.1d0.001e4                       :   318.8   49.2   340.0     800    43      98  296   88  416    11
  11 450_4500bs2048lr0.1d0.001e4                       :   283.4   46.8   379.5     800    47      78  330   99  371    12
  12 400_4000bs2048lr0.1d0.001e4                       :   268.9   49.0   391.5     800    49      91  354   75  371     9
  13 300_3000bs2048lr0.1d0.001e4                       :   246.3   43.5   416.0     800    52      74  374   84  342    11
  14 350_3500bs2048lr0.1d0.001e5                       :   236.3   46.7   376.0     800    47      93  334   84  382    11
  15 250_2500bs2048lr0.1d0.001e4                       :   211.3   38.9   415.5     800    52      56  362  107  331    13
  16 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   46.5   331.5     600    55      81  297   69  234    12
  17 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   42.0   357.0     700    51     100  326   62  312     9
  18 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   44.7   214.5     500    43     100  178   73  249    15
  19 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 0.29 +/- 4.51
Draw rate (equal opponents) = 12.52 % +/- 0.39

