
   # PLAYER                                            :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)    W    D    L  D(%)
   1 1600_16000bs2048lr0.1d0.001e6                     :   706.0   64.8   235.0     400    59      98  210   50  140    13
   2 1500_15000bs2048lr0.1d0.001e7                     :   665.1   60.5   269.0     500    54      78  236   66  198    13
   3 1400_14000bs2048lr0.1d0.001e6                     :   652.3   59.1   317.5     600    53      68  273   89  238    15
   4 1300_13000bs2048lr0.1d0.001e5                     :   644.4   59.4   376.5     700    54      98  332   89  279    13
   5 1200_12000bs2048lr0.1d0.001e5                     :   613.5   58.8   418.0     800    52      94  359  118  323    15
   6 1000_10000bs2048lr0.1d0.001e5                     :   586.0   55.7   469.0     800    59      77  416  106  278    13
   7 1100_11000bs2048lr0.1d0.001e5                     :   574.1   54.2   411.5     800    51     100  355  113  332    14
   8 900_9000bs2048lr0.1d0.001e5                       :   522.4   51.6   438.0     800    55     100  389   98  313    12
   9 800_8000bs2048lr0.1d0.001e4                       :   412.8   50.6   359.5     800    45      85  315   89  396    11
  10 700_7000bs2048lr0.1d0.001e4                       :   394.8   48.2   384.0     800    48     100  339   90  371    11
  11 500_5000bs2048lr0.1d0.001e4                       :   330.1   48.7   396.0     800    50      78  344  104  352    13
  12 600_6000bs2048lr0.1d0.001e4                       :   318.8   48.2   340.0     800    43      99  296   88  416    11
  13 450_4500bs2048lr0.1d0.001e4                       :   283.5   45.2   379.5     800    47      81  330   99  371    12
  14 400_4000bs2048lr0.1d0.001e4                       :   268.9   48.2   391.5     800    49      92  354   75  371     9
  15 300_3000bs2048lr0.1d0.001e4                       :   246.3   46.1   416.0     800    52      72  374   84  342    11
  16 350_3500bs2048lr0.1d0.001e5                       :   236.3   45.7   376.0     800    47      90  334   84  382    11
  17 250_2500bs2048lr0.1d0.001e4                       :   211.3   42.8   415.5     800    52      55  362  107  331    13
  18 from00000_150_1500bs2048lr0.1d0.001e3             :   208.9   40.5   331.5     600    55      80  297   69  234    12
  19 scr_dl_200_2000bs2048lr0.1d0.001e3                :   194.2   44.7   357.0     700    51     100  326   62  312     9
  20 newplane_from00000_100_1000bs2048lr0.1d0.001e3    :   121.4   44.7   214.5     500    43     100  178   73  249    15
  21 00000                                             :     0.0   ----   104.5     400    26     ---   86   37  277     9

White advantage = 1.17 +/- 4.55
Draw rate (equal opponents) = 12.63 % +/- 0.40

